model,metric,type,value
EleutherAI/gpt-j-6B,S,N,0.8339701923708227
EleutherAI/gpt-j-6B,S,N+,0.6332479810911956
EleutherAI/gpt-j-6B,M,N,0.0745619970537405
EleutherAI/gpt-j-6B,M,N+,0.11442867346191955
EleutherAI/gpt-j-6B,KL,N,0.0
EleutherAI/gpt-j-6B,KL,N+,0.0
FT,S,N,0.7906966056069857
FT,S,N+,0.5436018646182129
FT,M,N,0.06957715479298264
FT,M,N+,0.09310059582595359
FT,KL,N,3.2400300357751932e-06
FT,KL,N+,5.194317057473271e-06
MEMIT,S,N,0.8156654192108201
MEMIT,S,N+,0.4014903814588668
MEMIT,M,N,0.06807226774696525
MEMIT,M,N+,-0.02069254460273768
MEMIT,KL,N,9.21802051762764e-07
MEMIT,KL,N+,9.940982127734175e-06
ROME,S,N,0.7911364979318495
ROME,S,N+,0.3281990676908936
ROME,M,N,0.05361697504742949
ROME,M,N+,-0.12144710822406429
ROME,KL,N,3.5109484147685776e-06
ROME,KL,N+,1.83336075048884e-05
